track_artists,album_name,track_uri,track_name
"21 Savage, Metro Boomin",Savage Mode,5TvdhNXoHbeGeWtjCYhFuy,Bad Guy
"21 Savage, Metro Boomin",Savage Mode,5V57eUQoTrMCZqonhzi8B9,Real Nigga
"21 Savage, Metro Boomin",Savage Mode,6hEHxpZpvZwt1v4NoGwjKr,Mad High
"21 Savage, Metro Boomin",Savage Mode,4ujX9kC3UUp26MG0tPhUCz,Feel It
"21 Savage, Metro Boomin",Savage Mode,1UyLFPOIG7E1OfamPQLOfD,Ocean Drive
21 Savage,Slaughter King,2DtqYVY9L3m7yvUvra7Ge6,Lord Forgive Me
21 Savage,Slaughter King,5jzICnPx3GiVD2FzvUhP1T,Dirty K
21 Savage,Slaughter King,3QfT6j50zHZLPrl5skf9mX,Front Door
21 Savage,Slaughter King,4C61YwZyiVfzrh8walv04F,Wow
21 Savage,Slaughter King,00WFoR7tPga5Wj92MSR3eD,Slime
21 Savage,Slaughter King,4tUHRIoPI8YiOsNOUrTomJ,Mind Yo Business
21 Savage,Slaughter King,3ZFYvE2CoxAKCs5O5DFkXA,No Peace
21 Savage,Slaughter King,3xAXYCtd98G5G0SSJAHtqd,Dip Dip
21 Savage,Slaughter King,0xwn1hcwKZEQTaRTLP0PFc,Motorcycle
21 Savage,Slaughter King,0H117ffxP9pOWGffiGCY3L,Deserve
21 Savage,Slaughter King,2eq9aw5ZZIuRswW9fy5PKE,Partments
21 Savage,Slaughter King,0CAugnKxS7xneO9ShRRxuY,Vette
21 Savage,Slaughter King,44TMQoBzzvSPhOouSxiBdT,Bitch Nigga Please
21 Savage,Slaughter King,6BNymc6C7PlRwBzgZBm5dk,Help Me
21 Savage,The Slaughter Tape,065LHZtJbXDZNAaQ2wQ5Sd,Skrrt Skrrt
21 Savage,The Slaughter Tape,3IDT2Uym5rKea8YprYyeBt,Pimp
21 Savage,The Slaughter Tape,4KP63LKrVrEdAK176UJYg8,Gang
21 Savage,The Slaughter Tape,5BH86QTag2wQ95HSrEGqQX,Picky
"21 Savage, Key, ILOVEMAKONNEN",The Slaughter Tape,0ikF7YGnEM1UpPTng3y9iq,Slaughter Ya Daughter
21 Savage,The Slaughter Tape,0Qxo9U5lhJBXSMkjx1nuzm,Drip
"21 Savage, Key",The Slaughter Tape,6IdFmILKYNfeZW9LYE4jhM,Out the Bowl
21 Savage,The Slaughter Tape,0xJ6waQuwURRV21Dk13OTG,Drinkin and Driving
"21 Savage, Offset",The Slaughter Tape,5W9lZvCYgDESkJrO9pquwX,Start Dyin
21 Savage,The Slaughter Tape,0x33D0zzfOILljMVr54RWs,Fuckin Niggaz Bitches
"21 Savage, ManMan Savage",The Slaughter Tape,0cmp9n5Wsls5MsasGAQqs6,Million Dollar Liq
21 Savage,The Slaughter Tape,1jrhaPfJO5Ptp65bOvowI2,Seeing Double
21 Savage,The Slaughter Tape,1IuLSY7riq1V1miGpKAGlr,Heart So Cold
21 Savage,The Slaughter Tape,3wrrgR3oLdbvzcKoKoxyDQ,Woah
21 Savage,Immortal,4IO8X9W69dIQe0EC5ALXhq,Immortal
"Alicia Keys, 21 Savage, Miguel",Show Me Love (feat. 21 Savage & Miguel),4eFvubnLRBu8vMPZqu5eC9,Show Me Love (feat. 21 Savage & Miguel)
"Normani, 21 Savage",Motivation (with 21 Savage) [Savage Remix],5jpPuiSfxFPmjJRQyH1Lie,Motivation (with 21 Savage) - Savage Remix
"Jhené Aiko, 21 Savage, Summer Walker",Triggered (Remix),1vXFnAO7zu7n0ErcJmGLZF,Triggered - Remix
"Slum Homies, 21 Savage, Ric Flair Drip",Hulk Hogan (Remix),05nmm5M0iJ57i3I3MVCNjj,Hulk Hogan - Remix
"SahBabii, 21 Savage",Outstanding (feat. 21 Savage),24W9LlHIfhALtn33zBnnQr,Outstanding (feat. 21 Savage)
"Don Ace, 21 Savage",4 5 (Remix),1XrpigrycjlsrnoFggSZuB,4 5 - Remix
"BlocBoy JB, 21 Savage",Rover 2.0 (feat. 21 Savage),7sB2rmolvEt77KFPCraSNc,Rover 2.0
"A$AP Rocky, Gucci Mane, 21 Savage, London On Da Track",Cocky (feat. London On Da Track),1nO2NjuFkGaAWcMdJ1pNrp,Cocky (feat. London On Da Track)
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),46exFQslViWJ7WxsGkNWgu,Soldiers Prayer AM
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),2fZ3zmZsq3sAW8ELu5YPXY,Runaway Slave
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),3ecTEeFaXqG1nygO77cb5S,Young Black and Just Don't Give a...
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),6ZswO8JlurvlaQE45BRFRw,How U Like That
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),4y4SIN7Uwt8UHgEmLyehsz,Jewels
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),3Do9vJwiq19MQ7VeXUoD95,Daddy Loves You
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),7f87hxaqVbyeOcsLNIdNLq,Soul Music
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),663yqz80xQRoiW27dgC9nd,Tryin 2 Make a Livin
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),2eLQt1H2iSpbMZOMgGhZo2,Time
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),6W8NioreZeDD1Koi68WjPs,4 Life
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),1PXtPb1BtVtbzFKCpKcCGr,Smoke Wit Me
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),6O1orxWiVf9qnzfJMxPr16,Kali4nya
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),2nfUkZw5O9PMi9cW9rosXs,Like a Soldier Wit It
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),2bwSRhBzrfu09fj6yPWht8,Soldier's Prayer PM
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),1ge8ukIcPgu7falEEAU2YV,Outlaw Pride
"Dead Prez, Outlawz, 2Pac",Soldier 2 Soldier (Collector's Edition),2FgYQlmpFyuTGAKf9FGeEh,Leave the Past Behind
"2Pac, Kurupt, Butch Cassidy",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),3Cd5BE3carDNzPaN4Iu0qs,Picture Me Rollin' (feat. Kurupt & Butch Cassidy)
"2Pac, Fatal Hussein",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),4Q6e2NCLX18VPBbr5RxLGF,Keep Goin' (feat. Fatal Hussein)
"2Pac, Candy Hill",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),6LEtS24EsrpeSbMZOmG6YL,What'z Ya Phone # (feat. Candy Hill)
"2Pac, Dwele",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),3JoqtFCCYiRrCNpXIKppGw,Staring Through My Rear View (feat. Dwele)
"2Pac, Outlawz",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),00AvOVhsUi1gOCnHxTFw7i,Hail Mary (feat. The Outlawz)
"2Pac, Outlawz, Kurupt",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),0ltEz21p6eJDQgQUrjlb04,Got My Mind Made Up (feat. The Outlawz & Kurupt)
"2Pac, Styles P, Butch Cassidy",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),4wpLReKkhxeLzF8Gz09HBD,Pain (feat. Styles P & Butch Cassidy)
"2Pac, Outlawz",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),5jxNS1jAh1ORm0uE73pMK3,Lost Souls (feat. The Outlawz)
"2Pac, Snoop Dogg",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),3Kxl0M74EowVyBe0fn0t4X,Dead Or Alive (feat. Snoop Dogg)
"2Pac, Boot Camp Click",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),3Zw4tWsUscSfsoZ1lQoogE,Initiated (feat. Boot Camp Click)
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),2Z3x8nf8ZN755ngic2F4B3,How Do U Want It
"2Pac, Outlawz",Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),1YiVCUl3mqlh6sEQM8xxDy,Picture Me Rollin' (feat. The Outlawz)
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),0RYr2ikKRZ59PSObrRM27n,Lost Souls (Bonus)
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),7stKwfHRWyivKC0CEiY8QI,Initiated (Bonus)
"2Pac, Krayzie Bone",Pac's Life,3zZ30LpGe1lYzJsIQpyZPw,Untouchable Swizz Beatz Remix
"2Pac, T.I., Ashanti",Pac's Life,0kZnocAcgakb384KIJ9rZ9,Pac's Life
"2Pac, Hussein Fatal, Papoose, Carl Thomas",Pac's Life,0lqKrmXUgswg8JarLKs89l,Dumpin'
"2Pac, Keyshia Cole",Pac's Life,0wpwIRUgSkhROOhJB9cAED,Playa Cardz Right (Female)
"2Pac, A3, Jay Rock",Pac's Life,6Gxgp1zYEf0TZcx9EUe6Wx,Whatz Next
"2Pac, Young Buck, Chamillionaire",Pac's Life,24f9Nj9JEb7IbNLWDEdINg,Sleep
"2Pac, Nipsey Hussle, Young Dre",Pac's Life,4iqW4M56N7udZgCB8edctG,International
"2Pac, Lil Scrappy, Nutso, Yaki Kadafi, Stormy",Pac's Life,4thxI2KSGykuykiLJjMslo,Don't Sleep
"2Pac, Yaki Kadafi",Pac's Life,3Vt89nokRNoQyafkZ4kJF0,Soon As I Get Home
"2Pac, Ludacris, Keon Bryce",Pac's Life,4HR4J2T8rc0xSPsHd8l8bj,Playa Cardz Right (Male)
"2Pac, Big Syke, Yaki Kadafi, Hussein Fatal, E.D.I., Young Noble, Stormy",Pac's Life,25j4RvkRgcXvZ0OUNP1H2U,Don't Stop
"2Pac, Snoop Dogg, T.I., Chris Starr",Pac's Life,497maC9EUxIciCgwQQEBqP,Pac's Life Remix
"2Pac, Yaki Kadafi, Hussein Fatal, Gravy",Pac's Life,0zMbAJHor48Eay1DiWmVyZ,Untouchable
"2Pac, 40 Cal.",The Rose - Volume 2 - Music Inspired By 2pac's Poetry,3Ar5nz9BwGB086Y3fQ8tfy,Intro
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,1jSfPewLaSsQxoQqsmrVTa,Power Of A Smile
"2Pac, Fred Money",The Rose - Volume 2 - Music Inspired By 2pac's Poetry,4HsuVxKp6xeiJMoDyTppKa,The Eternal Lament
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,2OGIzmlBVZm7yKEO6Izqe2,Fallen Star
"2Pac, SAS",The Rose - Volume 2 - Music Inspired By 2pac's Poetry,7lNlOD6fwjOd8qS4mkiRKh,In The Depths Of Solitude
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,76Rltl2VEXQHA5bTXXsyZs,Movin On
"2Pac, Paul Wall",The Rose - Volume 2 - Music Inspired By 2pac's Poetry,2dKY6mznWAYz1UJxrlAXQT,Life Through My Eyes
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,7Jd9uMuUM8ZqvI6j7ReGZT,When Ure Heart Turns Cold
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,1ckzpCmPRuALCq645W5kPZ,Black Woman
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,7uFM7RhKVO7ZezMi9C6o7f,Only 4 The Righteous
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,7CtPJKPNXggCRqxjILbJXd,Where There Is A Will
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,7Gw9Ryz8laf77CoblaPI7D,When Ur Hero Falls
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,5N8A5fHqrhNI8vuMIxZ0oc,And 2morrow
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,0htCWYwkFwlubmkb1PDnbi,If I Fail
2Pac,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,1FpEv43p6iUtcU32RXXtJ4,Poetry
"2Pac, Outlawz",Live at the House Of Blues,2qcs0NO8girzx18Po1YwsK,Ambitionz Az A Ridah - Live
"2Pac, Outlawz",Live at the House Of Blues,4Srg1upVV4nL1GvFgSx5us,So Many Tears - Live
"2Pac, Outlawz",Live at the House Of Blues,2sXxa4WvLoFDemULqiv4VL,Troublesome - Live
"2Pac, Outlawz",Live at the House Of Blues,1TOJKDq4KuWi7ui7QM5t7y,Hit 'Em Up - Live
"2Pac, Outlawz",Live at the House Of Blues,3SCI6Y5JYANRK8dhCwnOMh,Tattoo Tears - Live
"2Pac, Outlawz",Live at the House Of Blues,5depnMi0DfyOU1BV0Tmkmw,All About You - Live
"2Pac, Outlawz",Live at the House Of Blues,5AZyxzUzYlY1sYHYMoEnfD,Never Call U Bitch Again - Live
"Dalvin Degrate, K-Ci & JoJo",Live at the House Of Blues,6D6DrOhfOHXypIZ7UJ4F43,Freek'n You - Live
"2Pac, K-Ci & JoJo",Live at the House Of Blues,50wkjqbOcg6xQh7SLLZwqw,How Do You Want It - Live
"Snoop Dogg, Tha Dogg Pound",Live at the House Of Blues,7K8mwfP936u712tQqamxEB,What Would U Do? - Live
Snoop Dogg,Live at the House Of Blues,1U3ltl4SISoM570YfzdEw2,Murder Was The Case - Live
Snoop Dogg,Live at the House Of Blues,42sfuiuuleu0hwI90c4gg1,The Shiznit - Live
"Snoop Dogg, Tha Dogg Pound",Live at the House Of Blues,5MkBZVpPf97MDxYyPQ4Ap7,If We All Gonna Fuck - Live
"Snoop Dogg, Tha Dogg Pound",Live at the House Of Blues,0262Etlk0AO6Lo4wOjc9Db,Some Bomb Ass (Pussy) - Live
"Snoop Dogg, Tha Dogg Pound, Nate Dogg",Live at the House Of Blues,6aPFJ2b6iApBxXHNFzzYAB,Aint No Fun (If The Homies Can't Have None) - Live
"Snoop Dogg, Tha Dogg Pound",Live at the House Of Blues,61RwE20RtcQK2qWbPBmu6P,New York - Live
"Snoop Dogg, Tha Dogg Pound, Nate Dogg",Live at the House Of Blues,7Av2gjAPP2w7KIhCJBjQWv,Big Pimpin' - Live
"Snoop Dogg, Tha Dogg Pound",Live at the House Of Blues,06MCIO5PZkwDThHfIGRFBU,Do What I Feel - Live
"Snoop Dogg, Tha Dogg Pound",Live at the House Of Blues,1lwwRcZ2RxOHc1vq1CLCax,G'z And Hustlas - Live
"Snoop Dogg, Tha Dogg Pound",Live at the House Of Blues,5r1mFD91IToz6snU2ABqiG,Who Am I (What's My Name) - Live
2Pac,All Eyez On Me,4JhloJcv1weqqs8RfBLWk0,Ambitionz Az A Ridah
"2Pac, Snoop Dogg, Nate Dogg, Fatal, Yani Hadati",All Eyez On Me,4HBQID38qgWwXRjMiiMyTp,"All About U (ft. Nate Dogg, Snoop Dogg, Fatal, Yani Hadati)"
"2Pac, Nate Dogg",All Eyez On Me,0x8rTCwVSRsFA2vjeBkK2z,Skandalouz (ft. Nate Dogg)
"2Pac, Daz Dillinger, Kurupt, Method Man, Redman",All Eyez On Me,7fkh0T76q28kW93oMXjZL5,"Got My Mind Made Up (ft. Dat Nigga Daz, Kurupt, Method Man, Redman)"
"2Pac, KC, Jojo",All Eyez On Me,7rHJr8x10nTZYR4j2VYlXu,"How Do You Want It (ft. KC, Jojo)"
"2Pac, Snoop Dogg",All Eyez On Me,2qQSVIXKDye960CHPZR20i,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dog)
2Pac,All Eyez On Me,3JDpKIFGOPvbNg0BCeYZqr,No More Pain
2Pac,All Eyez On Me,0Y0G4BMkLcdkluOIBkZjtd,Heartz Of Men
2Pac,All Eyez On Me,5Xu0S6vDwWAFdl6UrcOfZF,Life Goes On
"2Pac, Rappin' 4-Tay",All Eyez On Me,5MZTdUsVTeRFsPxLO3tAeH,Only God Can Judge Me (ft. Rappin' 4-Tay)
"2Pac, Outlawz, C-Bo, C-PO, Storm",All Eyez On Me,1Isff4RA9c3XSEbCUAW2nt,"Tradin War Stories (ft. C-BO, CPO, Outlawz, The Storm)"
"2Pac, Roger, Dr. Dre",All Eyez On Me,5dBn3rxk2UoLwSDHuqUbsw,"California Love (remix) (ft. Dr. Dre, Roger Troutman)"
"2Pac, Danny Boy",All Eyez On Me,31EZ5iL8Lt2z7VoGlncGgL,I Ain't Mad At Cha (ft. Danny Boy)
"2Pac, Danny Boy",All Eyez On Me,6ztPCBymEV79q03MRsCd83,Whatz Ya Phone # (ft. Danny Boy)
2Pac,All Eyez On Me,5rCdEXCDZdGEBF4tJS70fI,Can't C Me
2Pac,All Eyez On Me,5Ouls5XwT44AtEN17NxEqv,Shorty Wanna Be A Thug
2Pac,All Eyez On Me,1WPrJYcSPQMcPFc01cizCN,Holla At Me
2Pac,All Eyez On Me,0ZPLXNivfvEe3xxUTc0JXM,Wonda Why They Call U B____
"2Pac, Outlaw Immortals",All Eyez On Me,3tqrCjte68lh3yMlOWxvKZ,When We Ride (ft. Outlaw Immortals)
"2Pac, Jewell, Outlawz, Storm",All Eyez On Me,4QXIAkXVoxn5LEseEUP8d0,"Thug Passion (ft. Jewell, Outlawz, The Storm)"
2Pac,Live,62QkgiHqcn24yWJkNQFDbN,Live Medley
2Pac,Live,5TeUnkfWd29SlA4FGjDajw,Intro
2Pac,Live,5BopiN3oeuUPykVEEPxTQS,Ambitionz Of A Ridah
2Pac,Live,236YqmnVZoycHqkLXqvE4k,So Many Tears
2Pac,Live,4QAIEOVLw52NomJnMx4iOv,Troublesome
2Pac,Live,3CBtWTrzgfCeU8lZyL132d,Hit Em Up
2Pac,Live,1MAwu76xKmj2in5g1M4wdn,Tattoo Tears
2Pac,Live,6FbkyMjULHBWRzmBzB6GDH,Heartz Of Men
2Pac,Live,5FQWpJBGqcNO34tOQkVnZn,All About You
2Pac,Live,1IIiQhSbx2OyTKUniKvI5b,Never Call You Bitch Again
2Pac,Live,1IStmUuC0rhng9KiPu1qDx,How Do You Want It
2Pac,Live,0zRbwBnhkso7M9s7XTEvT2,2 Of Amerikaz Most Wanted
2Pac,Live,1R23f25xJ6hYXbivSuFokW,California Love
"2Pac, Eminem",Loyal To The Game,36UjTTrSwaAqLkAlf2Ooc4,Soldier Like Me
"2Pac, E.D.I., El Noble",Loyal To The Game,1SgENhaSaWJ9OWci6zRAvD,The Uppercut
2Pac,Loyal To The Game,6GgRMZPuHb7cPkyWBiSFdf,Out On Bail
2Pac,Loyal To The Game,7jLbTp3qZzah9kMIdW8e5M,Ghetto Gospel
"2Pac, Eminem, Kastrom, El Noble",Loyal To The Game,1aeh5ptgNndkonDFIyL6Y3,Black Cotton
"2Pac, 50 Cent, Lloyd Banks, Young Buck",Loyal To The Game,3iNzFuZPs4va5EUrpAFiYt,Loyal To The Game
"2Pac, Nate Dogg",Loyal To The Game,2AOA0UAoRHcNQVrFmzMX8G,Thugs Get Lonely Too
